timestamp,open,high,low,close,volume
2025-01-01 00:00:00,95000,95500,94800,95200,1000
2025-01-01 00:05:00,95200,95800,95100,95600,1200
2025-01-01 00:10:00,95600,96000,95400,95800,900
2025-01-01 00:15:00,95800,96200,95700,96100,1100
2025-01-01 00:20:00,96100,96500,96000,96300,1300
2025-01-01 00:25:00,96300,96400,95900,96000,800
2025-01-01 00:30:00,96000,96100,95500,95600,1000
2025-01-01 00:35:00,95600,95800,95200,95400,900
2025-01-01 00:40:00,95400,95600,95000,95100,1100
2025-01-01 00:45:00,95100,95300,94800,95000,1000
2025-01-01 00:50:00,95000,95500,94900,95400,1200
2025-01-01 00:55:00,95400,95900,95300,95800,1300
2025-01-01 01:00:00,95800,96300,95700,96200,1400
2025-01-01 01:05:00,96200,96800,96100,96700,1500
2025-01-01 01:10:00,96700,97200,96600,97000,1600
2025-01-01 01:15:00,97000,97500,96900,97300,1700
2025-01-01 01:20:00,97300,97400,96800,96900,1200
2025-01-01 01:25:00,96900,97000,96400,96500,1000
2025-01-01 01:30:00,96500,96600,96000,96100,900
2025-01-01 01:35:00,96100,96300,95700,95800,800
2025-01-01 01:40:00,95800,96200,95700,96100,1000
2025-01-01 01:45:00,96100,96600,96000,96500,1100
2025-01-01 01:50:00,96500,97000,96400,96900,1200
2025-01-01 01:55:00,96900,97400,96800,97200,1300
2025-01-01 02:00:00,97200,97800,97100,97600,1400
2025-01-01 02:05:00,97600,98000,97500,97900,1500
2025-01-01 02:10:00,97900,98200,97700,98000,1600
2025-01-01 02:15:00,98000,98100,97400,97500,1200
2025-01-01 02:20:00,97500,97600,97000,97100,1000
2025-01-01 02:25:00,97100,97300,96600,96700,900
